winner_type_1,winner_type_2,winner_fast_move,winner_charge_move_1,winner_charge_move_2,winner_fast_move_type,winner_charge_move_1_type,winner_charge_move_2_type,winner_dex,winner_attack,winner_defense,winner_stamina,winner_overall,loser_type_1,loser_type_2,loser_fast_move,loser_charge_move_1,loser_charge_move_2,loser_fast_move_type,loser_charge_move_1_type,loser_charge_move_2_type,loser_dex,loser_attack,loser_defense,loser_stamina,loser_overall
grass,dark,Snarl,Leaf Blade,Foul Play,dark,grass,dark,275,134.2,87.7,142,73.6,normal,none,Sucker Punch,Rock Tomb,Icy Wind,dark,rock,ice,327,110.1,110.1,142,81.7
water,none,Charm,Aqua Jet,Disarming Voice,fairy,water,fairy,729,124.8,115.4,123,63.5,normal,flying,Fury Cutter,Leaf Blade,Aerial Ace,bug,grass,flying,83,116.8,109.2,131,83.5
fighting,ghost,Counter,Rage Fist,Close Combat,fighting,ghost,fighting,979,123.9,106.3,137,86.8,flying,steel,Sand Attack,Sky Attack,Iron Head,ground,flying,steel,823,107.6,128.1,151,91.6
grass,none,Fury Cutter,Frenzy Plant,Breaking Swipe,bug,grass,dragon,254,136.9,108.5,110,77.3,water,ground,Mud Shot,Earth Power,Water Pulse,ground,ground,water,536,116.6,101.6,162,72.4
electric,none,Spark,Wild Charge,Flame Charge,electric,electric,fire,523,137.7,95.5,123,62.9,steel,fairy,Fairy Wind,Iron Head,Play Rough,fairy,steel,fairy,303,125.9,121.2,117,77.4
psychic,none,Confusion,Dark Pulse,Psychic,psychic,dark,psychic,605,134.0,94.7,132,54.6,electric,none,Acid,Discharge,Crunch,poison,electric,dark,603,123.2,110.9,133,71.7
water,grass,Bubble,Scald,Grass Knot,water,water,grass,271,106.7,112.6,142,61.8,ghost,grass,Astonish,Grass Knot,Foul Play,ghost,grass,dark,710,114.3,116.0,126,76.4
rock,flying,Quick Attack,Ancient Power,Dragon Claw,normal,rock,dragon,566,160.1,76.0,115,62.0,steel,flying,Steel Wing,Brave Bird,Sky Attack,steel,flying,flying,227,106.2,163.1,122,82.9
electric,none,Spark,Wild Charge,Flame Charge,electric,electric,fire,523,137.7,95.5,123,62.9,fairy,none,Vine Whip,Grass Knot,Draining Kiss,grass,grass,fairy,764,116.9,155.4,105,66.5
rock,water,Mud Shot,Aqua Jet,Rock Tomb,ground,water,rock,140,133.6,128.6,97,73.3,dark,ice,Ice Shard,Avalanche,Foul Play,ice,ice,dark,215,135.5,110.7,110,66.6
water,none,Water Gun,Surf,Crunch,water,water,dark,516,136.6,94.5,126,61.7,psychic,fairy,Psywave,Shadow Ball,Psychic,psychic,ghost,psychic,122,132.2,145.7,88,66.6
steel,ghost,Hex,Shadow Ball,Power Gem,ghost,ghost,rock,1000,135.7,106.2,114,75.0,psychic,fairy,Charm,Triple Axel,Shadow Ball,fairy,ice,ghost,282,137.2,114.5,104,70.5
ice,psychic,Confusion,Avalanche,Psyshock,psychic,ice,psychic,124,142.2,101.5,109,53.5,normal,fighting,Shadow Claw,Superpower,Stomp,fairy,fighting,normal,760,130.4,85.6,154,78.6
ground,steel,Mud Shot,Rock Slide,Earthquake,ground,rock,ground,618,101.8,127.9,169,85.3,dragon,flying,Dragon Breath,Sky Attack,Moonblast,dragon,flying,fairy,334,103.4,153.3,136,81.7
poison,dark,Poison Jab,Dark Pulse,Acid Spray,poison,dark,poison,89,117.3,111.3,146,74.5,normal,none,Shadow Claw,Swift,Grass Knot,ghost,normal,grass,264,114.6,112.2,152,86.0
bug,flying,Bug Bite,Aerial Ace,Ancient Power,bug,flying,rock,469,137.3,98.3,121,67.3,flying,steel,Sand Attack,Sky Attack,Iron Head,ground,flying,steel,823,107.6,128.1,151,91.6
fighting,ice,Bubble,Ice Punch,Brick Break,water,ice,fighting,740,136.8,87.9,135,60.5,rock,none,Rock Throw,Rock Tomb,Rock Slide,rock,rock,rock,438,116.8,124.4,127,70.3
fighting,none,Low Kick,Body Slam,Brick Break,fighting,normal,fighting,538,110.3,107.8,170,52.4,dragon,flying,Dragon Breath,Dragon Claw,Superpower,dragon,dragon,fighting,149,135.8,108.4,111,82.7
water,fighting,Wing Attack,Close Combat,Aqua Jet,flying,fighting,water,914,137.9,97.1,121,72.4,rock,dark,Smack Down,Brutal Swing,Stone Edge,rock,dark,rock,248,130.2,109.4,121,63.9
electric,steel,Volt Switch,Magnet Bomb,Discharge,electric,steel,electric,81,148.7,113.4,89,75.9,dark,dragon,Dragon Tail,Brutal Swing,Sludge Bomb,dragon,dark,poison,799,113.3,65.5,266,86.3
rock,water,Mud Shot,Aqua Jet,Rock Tomb,ground,water,rock,140,133.6,128.6,97,73.3,rock,flying,Wing Attack,Ancient Power,Dragon Claw,flying,rock,dragon,567,160.6,81.4,106,64.3
steel,ghost,Hex,Shadow Ball,Power Gem,ghost,ghost,rock,1000,135.7,106.2,114,75.0,rock,ice,Powder Snow,Weather Ball (Ice),Meteor Beam,ice,ice,rock,699,114.1,105.7,163,87.9
fire,ghost,Incinerate,Torch Song,Shadow Ball,fire,fire,ghost,911,121.2,109.2,139,84.5,electric,fighting,Thunder Shock,Wild Charge,Thunder Punch,electric,electric,electric,922,136.1,81.5,142,78.0
dark,none,Feint Attack,Foul Play,Play Rough,dark,dark,fairy,53,123.0,113.2,131,61.7,poison,dark,Poison Jab,Dark Pulse,Acid Spray,poison,dark,poison,89,117.3,111.3,146,74.5
rock,grass,Acid,Ancient Power,Grass Knot,poison,rock,grass,345,100.8,138.6,151,80.9,bug,poison,Psywave,Poison Fang,Bug Buzz,psychic,poison,bug,49,128.2,104.4,131,79.9
ground,dragon,Dragon Tail,Scorching Sands,Dragon Claw,dragon,ground,dragon,330,129.2,109.6,123,79.0,dark,poison,Poison Jab,Aqua Tail,Shadow Ball,poison,water,ghost,904,131.6,106.6,121,80.7
electric,ice,Thunder Shock,Thunderbolt,Blizzard,electric,electric,ice,479,129.2,143.2,93,61.6,poison,psychic,Poison Jab,Scald,Brutal Swing,poison,water,dark,80,119.1,108.4,145,74.7
electric,none,Thunder Shock,Thunder Punch,Brick Break,electric,electric,fighting,239,126.0,97.5,120,69.1,grass,dragon,Dragon Tail,Seed Bomb,Draco Meteor,dragon,grass,dragon,103,134.4,94.2,131,63.6
normal,flying,Steel Wing,Sky Attack,Night Shade,steel,flying,ghost,441,140.4,78.4,145,51.6,ground,none,Mud Slap,Mud Bomb,Stone Edge,ground,ground,rock,51,136.4,120.5,99,76.4
ghost,none,Astonish,Dynamic Punch,Shadow Punch,ghost,fighting,ghost,477,119.8,172.9,90,91.1,electric,none,Quick Attack,Thunderbolt,Grass Knot,normal,electric,grass,312,116.8,126.8,129,68.7
water,ice,Psywave,Sparkling Aria,Ice Beam,psychic,water,ice,131,104.7,114.0,179,93.0,dark,fighting,Feint Attack,Upper Hand,Foul Play,dark,fighting,dark,559,120.4,122.1,126,70.4
dragon,ground,Dragon Tail,Crunch,Earthquake,dragon,dark,ground,718,138.1,119.1,98,64.4,bug,grass,Shadow Claw,Leaf Blade,X-Scissor,ghost,grass,bug,542,131.0,109.0,120,80.5
fire,fighting,Ember,Flame Charge,Rock Slide,fire,fire,rock,256,131.0,99.6,131,71.0,psychic,grass,Magical Leaf,Seed Bomb,Leaf Storm,grass,grass,grass,251,120.5,119.4,129,61.7
fighting,none,Poison Jab,Body Slam,Brick Break,poison,normal,fighting,539,141.0,99.8,113,63.5,water,dark,Fury Cutter,Dark Pulse,Icy Wind,bug,dark,ice,503,133.2,95.6,132,80.5
normal,none,Mud Slap,Stomp,Crunch,ground,normal,dark,115,115.9,112.8,148,77.3,dragon,fighting,Dragon Tail,Clanging Scales,Dragon Claw,dragon,dragon,dragon,784,123.7,138.4,105,83.0
rock,flying,Wing Attack,Ancient Power,Dragon Claw,flying,rock,dragon,567,160.6,81.4,106,64.3,rock,water,Fury Cutter,Cross Chop,Stone Edge,bug,fighting,rock,689,120.4,133.1,115,84.2
water,psychic,Water Gun,Surf,Psychic,poison,water,ghost,199,113.4,120.9,143,67.2,electric,dark,Thunder Shock,Aura Wheel,Psychic Fangs,electric,electric,psychic,877,141.7,97.8,114,90.1
fire,normal,Incinerate,Flame Charge,Dark Pulse,fire,fire,dark,668,135.0,98.0,125,74.5,fairy,flying,Fairy Wind,Psyshock,Dazzling Gleam,fairy,psychic,fairy,176,110.6,150.0,122,88.0
rock,steel,Smack Down,Stone Edge,Flamethrower,rock,rock,fire,411,81.1,246.7,138,89.2,fire,none,Ember,Flame Charge,Crunch,fire,fire,dark,726,136.6,89.5,134,68.5
normal,none,Charm,Wild Charge,Disarming Voice,fairy,electric,fairy,301,112.7,115.2,153,68.1,grass,poison,Vine Whip,Power Whip,Sludge Bomb,grass,grass,poison,2,118.6,121.7,130,74.9
dragon,ground,Mud Shot,Dig,Flamethrower,ground,ground,fire,444,128.8,101.0,133,64.1,rock,none,Sucker Punch,Stone Edge,Trailblaze,dark,rock,grass,745,145.2,92.5,115,63.9
ghost,flying,Air Slash,Air Cutter,Aerial Ace,flying,flying,flying,741,130.9,101.4,128,66.4,fire,dragon,Incinerate,Dragon Pulse,Overheat,fire,dragon,fire,776,114.2,153.0,112,78.9
psychic,none,Charge Beam,Psyshock,Dazzling Gleam,electric,psychic,fairy,518,113.7,108.9,159,58.2,normal,none,Lick,Swift,Cross Chop,ghost,normal,fighting,216,130.2,90.8,142,65.0
fire,none,Ember,Body Slam,Flamethrower,fire,normal,fire,58,126.9,90.8,135,69.6,grass,poison,Acid,Sludge Bomb,Petal Blizzard,poison,poison,grass,45,129.1,110.9,121,68.8
fire,flying,Air Slash,Air Cutter,Aerial Ace,flying,flying,flying,741,130.9,101.4,128,65.6,grass,none,Bullet Seed,Dazzling Gleam,Solar Beam,grass,fairy,grass,421,122.9,115.2,129,53.0
psychic,none,Astonish,Psyshock,Shadow Ball,ghost,psychic,ghost,358,120.2,120.2,129,74.1,ice,rock,Powder Snow,Rock Slide,Icy Wind,ice,rock,ice,713,117.0,134.7,121,76.3
bug,flying,Gust,Aerial Ace,Bug Buzz,flying,flying,bug,666,133.0,84.5,150,63.4,bug,flying,Air Slash,Air Cutter,Lunge,flying,flying,bug,284,130.3,107.8,122,63.4
ground,electric,Thunder Shock,Mud Bomb,Discharge,electric,ground,electric,618,101.8,127.9,169,91.3,normal,none,Zen Headbutt,Dazzling Gleam,Psychic,psychic,fairy,psychic,113,63.0,120.2,421,74.0
normal,none,Sand Attack,Wild Charge,Crunch,ground,electric,dark,508,125.8,114.7,124,72.5,poison,dark,Bite,Crunch,Trailblaze,dark,dark,grass,434,114.3,88.2,147,62.6
electric,none,Charge Beam,Trailblaze,Discharge,electric,grass,electric,180,121.9,99.8,151,59.2,psychic,none,Confusion,Psyshock,Return,psychic,psychic,normal,96,87.4,126.9,142,55.2
dark,steel,Fury Cutter,Night Slash,X-Scissor,bug,dark,bug,624,132.0,107.8,118,80.5,ghost,none,Hex,Shadow Ball,Dark Pulse,ghost,ghost,dark,855,144.5,114.5,94,64.0
water,flying,Air Slash,Fly,Ice Beam,flying,flying,ice,581,129.3,99.7,134,66.9,rock,dragon,Dragon Tail,Meteor Beam,Crunch,dragon,rock,dark,697,130.2,113.4,116,66.2
dark,poison,Poison Jab,Aqua Tail,Shadow Ball,poison,water,ghost,904,131.6,106.6,121,80.7,bug,grass,Bug Bite,Energy Ball,Silver Wind,bug,grass,bug,541,106.7,147.9,133,72.1
psychic,none,Confusion,Swift,Future Sight,psychic,normal,psychic,480,102.0,176.8,122,73.4,grass,none,Bullet Seed,Grass Knot,Energy Ball,grass,grass,grass,830,109.1,159.7,118,66.7
water,dark,Water Shuriken,Hydro Cannon,Night Slash,water,water,dark,658,139.6,101.6,113,86.3,rock,none,Smack Down,Stone Edge,Rock Blast,rock,rock,rock,524,114.3,105.0,135,55.0
psychic,flying,Air Slash,Aerial Ace,Future Sight,flying,flying,psychic,178,132.9,107.3,118,56.0,bug,dark,Sucker Punch,X-Scissor,Trailblaze,dark,bug,grass,920,132.9,104.1,121,80.5
bug,poison,Poison Sting,Sludge Bomb,Signal Beam,poison,poison,bug,544,96.6,158.0,113,60.0,grass,dark,Leafage,Night Slash,Frenzy Plant,grass,dark,grass,908,141.6,95.0,118,72.1
dark,normal,Quick Attack,Crunch,Return,normal,dark,normal,20,107.5,130.7,148,78.8,fairy,none,Fairy Wind,Moonblast,Swift,fairy,fairy,normal,36,117.2,111.5,146,86.9
steel,fairy,Fairy Wind,Iron Head,Play Rough,fairy,steel,fairy,303,125.9,121.2,117,77.4,poison,normal,Mud Slap,Poison Fang,Sludge Bomb,ground,poison,poison,945,134.9,106.5,115,77.7
psychic,ghost,Astonish,Shadow Ball,Psychic,ghost,ghost,dark,720,144.8,106.3,99,56.8,grass,none,Acid,Leaf Blade,Dazzling Gleam,poison,grass,fairy,182,115.7,132.9,126,83.3
electric,none,Spark,Wild Charge,Crunch,electric,electric,dark,404,134.1,91.1,137,65.8,electric,none,Spark,Crunch,Thunder,electric,dark,electric,836,136.3,97.5,123,58.4
water,psychic,Water Gun,Surf,Psychic,poison,water,ghost,199,113.4,120.9,143,67.2,ghost,poison,Shadow Claw,Shadow Punch,Sludge Bomb,ghost,ghost,poison,94,156.6,94.3,97,80.7
bug,none,Fury Cutter,X-Scissor,Drill Run,bug,bug,ground,588,127.7,85.7,127,71.4,ghost,none,Hex,Shadow Ball,Dark Pulse,ghost,ghost,dark,429,133.8,120.8,104,68.2
ground,electric,Thunder Shock,Mud Bomb,Discharge,electric,ground,electric,618,101.8,127.9,169,91.3,normal,none,Double Kick,Body Slam,Payback,fighting,normal,dark,832,111.0,141.7,128,78.6
water,ground,Mud Shot,Hydro Cannon,Sludge,ground,water,poison,260,123.0,108.6,136,86.4,electric,steel,Volt Switch,Wild Charge,Mirror Shot,electric,electric,steel,462,134.9,120.1,102,83.4
psychic,none,Confusion,Psyshock,Return,psychic,psychic,normal,96,87.4,126.9,142,55.2,fire,ground,Incinerate,Earth Power,Overheat,fire,ground,fire,323,134.9,101.2,122,66.8
dark,none,Snarl,Dark Pulse,Last Resort,dark,dark,normal,197,90.2,177.0,155,82.0,electric,fire,Thunder Shock,Overheat,Thunderbolt,electric,fire,electric,479,129.2,143.2,93,67.5
fighting,fire,Double Kick,Flame Charge,Trailblaze,fighting,fire,grass,128,127.8,123.1,111,72.9,normal,flying,Air Slash,Aerial Ace,Return,flying,flying,normal,520,124.0,101.4,143,62.4
water,none,Water Gun,Surf,Water Pulse,water,water,water,817,137.9,91.4,128,58.9,ground,dark,Mud Slap,Crunch,Earthquake,ground,dark,ground,553,133.9,94.8,132,72.9
bug,electric,Volt Switch,X-Scissor,Fly,electric,bug,flying,738,146.4,94.4,111,71.2,rock,flying,Wing Attack,Ancient Power,Dragon Claw,flying,rock,dragon,567,160.6,81.4,106,64.3
normal,none,Mud Shot,Swift,Crunch,ground,normal,dark,925,117.3,123.7,132,71.7,water,rock,Water Gun,Aqua Tail,Ancient Power,water,water,rock,369,105.2,137.5,147,80.8
fighting,none,Fury Cutter,Leaf Blade,Brave Bird,bug,grass,flying,83,137.9,97.8,120,83.9,normal,none,Lick,Swift,Cross Chop,ghost,normal,fighting,216,130.2,90.8,142,65.0
fire,ghost,Incinerate,Shadow Ball,Flame Charge,fire,ghost,fire,937,136.9,114.0,105,71.5,ghost,ground,Astonish,Scorching Sands,Shadow Ball,ghost,ground,ghost,770,116.6,120.4,136,75.6
flying,steel,Sand Attack,Sky Attack,Iron Head,ground,flying,steel,823,107.6,128.1,151,91.6,grass,none,Vine Whip,Power Whip,Rock Slide,grass,grass,rock,465,121.8,112.0,135,72.1
fighting,none,Fury Cutter,Leaf Blade,Close Combat,bug,grass,fighting,865,145.9,107.4,98,83.1,grass,flying,Leafage,Seed Bomb,Energy Ball,grass,grass,grass,722,98.3,95.8,154,53.0
grass,none,Magical Leaf,Grass Knot,Seed Flare,grass,grass,grass,492,117.9,122.3,131,64.6,electric,none,Volt Switch,Brutal Swing,Trailblaze,electric,dark,grass,181,127.4,106.8,129,77.8
dragon,none,Dragon Tail,Breaking Swipe,Surf,dragon,dragon,water,612,151.1,95.7,102,73.8,water,none,Bubble,Razor Shell,Water Pulse,water,water,water,98,148.1,110.4,92,58.2
dark,none,Sucker Punch,Night Slash,Play Rough,dark,dark,fairy,828,121.7,123.1,123,84.6,normal,none,Lock On,Tri Attack,Zap Cannon,normal,normal,electric,474,148.7,88.4,115,52.5
rock,ice,Powder Snow,Weather Ball (Ice),Meteor Beam,ice,ice,rock,699,114.1,105.7,163,87.9,dragon,ghost,Astonish,Shadow Ball,Outrage,ghost,ghost,dragon,886,131.0,92.6,141,68.2
psychic,none,Shadow Claw,Wild Charge,Psyshock,ghost,electric,psychic,151,120.5,119.4,129,83.1,normal,none,Sucker Punch,Aerial Ace,Ice Beam,dark,flying,ice,352,115.6,142.2,117,75.9
bug,fire,Ember,Flame Charge,Bug Buzz,fire,fire,bug,636,131.7,99.2,130,66.7,fire,none,Incinerate,Blast Burn,Thunder Punch,fire,fire,electric,157,132.2,108.3,117,80.6
poison,dark,Poison Jab,Crunch,Trailblaze,poison,dark,grass,435,121.7,95.2,157,80.2,bug,fire,Ember,Flame Charge,Bug Buzz,fire,fire,bug,636,131.7,99.2,130,66.7
bug,flying,Fury Cutter,X-Scissor,Power Gem,bug,bug,rock,416,109.1,143.3,131,86.5,bug,poison,Poison Sting,X-Scissor,Drill Run,poison,bug,ground,15,127.6,106.2,129,80.1
steel,rock,Metal Sound,Rock Tomb,Thunder,steel,rock,electric,306,116.1,154.0,107,80.8,dark,none,Snarl,Dark Pulse,Last Resort,dark,dark,normal,197,90.2,177.0,155,82.0
water,steel,Metal Claw,Hydro Cannon,Drill Peck,steel,water,flying,395,125.8,115.9,122,80.1,ghost,grass,Shadow Claw,Power Whip,Wrap,ghost,grass,normal,781,139.8,109.3,105,75.2
electric,grass,Thunder Shock,Thunderbolt,Ominous Wind,electric,electric,ghost,479,129.2,143.2,93,61.6,dark,none,Snarl,Dark Pulse,Play Rough,dark,dark,fairy,510,140.9,89.3,126,58.0
water,rock,Bubble,Power Gem,Rock Blast,ghost,ghost,rock,222,109.3,141.6,133,72.0,water,psychic,Confusion,Aqua Tail,Psychic Fangs,psychic,water,psychic,779,137.3,100.4,118,74.4
psychic,none,Psywave,Dynamic Punch,Shadow Ball,psychic,fighting,ghost,326,114.5,128.3,133,88.9,grass,none,Vine Whip,Power Whip,Rock Slide,grass,grass,rock,465,121.8,112.0,135,72.1
fighting,none,Double Kick,Close Combat,Trailblaze,fighting,fighting,grass,128,127.8,123.1,111,76.1,grass,poison,Poison Sting,Weather Ball (Fire),Leaf Storm,poison,fire,grass,407,143.1,114.9,95,80.4
steel,poison,Metal Sound,Gyro Ball,Gunk Shot,steel,steel,poison,965,116.0,102.5,120,53.4,ice,none,Astonish,Icy Wind,Signal Beam,ghost,ice,bug,583,124.1,119.3,122,69.9
electric,fighting,Thunder Shock,Brick Break,Wild Charge,electric,fighting,electric,923,144.5,94.3,113,79.0,bug,poison,Poison Sting,X-Scissor,Drill Run,poison,bug,ground,15,127.6,106.2,129,80.1
fire,water,Incinerate,Sludge Bomb,Overheat,fire,poison,fire,721,135.6,117.4,103,70.2,normal,none,Zen Headbutt,Dazzling Gleam,Psychic,psychic,fairy,psychic,113,63.0,120.2,421,74.0
ground,ghost,Shadow Claw,Rock Tomb,Shadow Ball,ghost,rock,ghost,867,112.2,168.3,106,89.2,water,none,Water Gun,Surf,Shadow Ball,water,water,ghost,818,154.0,89.6,105,55.3
water,dark,Waterfall,Crunch,Poison Fang,water,dark,poison,319,166.6,64.8,124,64.7,fighting,none,Counter,Superpower,Megahorn,fighting,fighting,bug,870,128.2,119.8,113,68.4
ice,ground,Powder Snow,Icicle Spear,High Horsepower,ice,ice,ground,221,121.1,98.2,155,82.1,grass,normal,Magical Leaf,Earth Power,Trailblaze,grass,ground,grass,929,119.3,121.8,129,71.8
bug,rock,Fury Cutter,X-Scissor,Stone Edge,bug,bug,rock,900,144.2,105.1,102,77.1,dark,dragon,Dragon Breath,Dark Pulse,Body Slam,dragon,dark,normal,634,121.0,109.2,140,82.6
normal,none,Sucker Punch,Aerial Ace,Ice Beam,dark,flying,ice,352,115.6,142.2,117,75.9,ghost,none,Shadow Claw,Shadow Ball,Dazzling Gleam,ghost,ghost,fairy,354,146.8,89.3,117,63.9
grass,none,Acid,Leaf Blade,Dazzling Gleam,poison,grass,fairy,182,115.7,132.9,126,83.3,water,ground,Mud Shot,Mud Bomb,Scald,ground,ground,water,340,107.6,107.6,178,86.4
water,none,Shadow Claw,Hydro Cannon,Ice Beam,ghost,water,ice,160,123.3,118.0,124,91.8,electric,ice,Thunder Shock,Thunderbolt,Blizzard,electric,electric,ice,479,129.2,143.2,93,61.6
normal,none,Astonish,Swift,Aerial Ace,ghost,normal,flying,190,126.1,105.2,134,73.6,rock,fairy,Rock Throw,Power Gem,Moonblast,rock,rock,fairy,703,84.9,247.9,126,90.3
dark,none,Sucker Punch,Night Slash,Play Rough,dark,dark,fairy,828,121.7,123.1,123,84.6,grass,none,Vine Whip,Power Whip,Crunch,grass,grass,dark,455,130.2,101.2,130,67.4
bug,flying,Bug Bite,Aerial Ace,Bug Buzz,bug,flying,bug,414,140.0,83.0,137,65.6,fighting,dark,Karate Chop,Close Combat,Night Slash,fighting,fighting,dark,675,134.5,92.0,134,89.5
fire,ghost,Incinerate,Shadow Ball,Flame Charge,fire,ghost,fire,937,136.9,114.0,105,71.5,bug,poison,Poison Sting,X-Scissor,Megahorn,poison,bug,bug,545,132.6,121.1,105,74.5
ice,none,Lock On,Blizzard,Thunder,normal,ice,electric,378,103.7,180.2,115,78.7,dark,normal,Counter,Night Slash,Cross Chop,fighting,dark,fighting,862,112.6,126.7,138,75.8
bug,fighting,Counter,Superpower,Lunge,fighting,fighting,bug,794,129.3,112.7,119,71.0,dark,flying,Snarl,Brave Bird,Dark Pulse,dark,flying,dark,430,150.6,68.3,145,65.0
psychic,none,Confusion,Psyshock,Surf,psychic,psychic,water,79,104.2,95.0,186,65.5,psychic,flying,Air Slash,Air Cutter,Ancient Power,flying,flying,rock,561,131.6,114.0,114,61.8
dark,normal,Counter,Night Slash,Cross Chop,fighting,dark,fighting,862,112.6,126.7,138,75.8,water,none,Bubble,Drill Peck,Icy Wind,water,flying,ice,393,106.7,98.3,131,56.6
water,ice,Ice Shard,Icy Wind,Liquidation,ice,ice,water,91,119.7,166.0,94,68.5,water,bug,Bug Bite,Water Pulse,Bubble Beam,bug,water,water,752,97.9,176.1,133,88.6
grass,none,Vine Whip,Frenzy Plant,Earthquake,grass,grass,ground,154,111.5,138.4,130,82.1,electric,none,Thunder Shock,Wild Charge,Shadow Ball,electric,electric,ghost,243,130.9,110.1,118,79.4
fire,fighting,Ember,Flamethrower,Low Sweep,fire,fire,fighting,391,129.6,95.4,139,68.8,poison,none,Infestation,Body Slam,Seed Bomb,bug,normal,grass,569,121.7,114.6,132,57.1
fire,none,Karate Chop,Fire Punch,Scorching Sands,fighting,fire,ground,126,136.6,107.5,112,77.0,fire,flying,Incinerate,Brave Bird,Earthquake,fire,flying,ground,250,123.6,128.2,114,73.5
dark,none,Feint Attack,Foul Play,Play Rough,dark,dark,fairy,53,123.0,113.2,131,61.7,steel,poison,Metal Sound,Gyro Ball,Gunk Shot,steel,steel,poison,965,116.0,102.5,120,53.4
rock,ground,Rock Throw,Breaking Swipe,Stone Edge,rock,dragon,rock,95,84.0,207.6,105,64.8,psychic,none,Shadow Claw,Wild Charge,Psyshock,ghost,electric,psychic,151,120.5,119.4,129,83.1
dark,none,Feint Attack,Foul Play,Play Rough,dark,dark,fairy,53,123.0,113.2,131,61.7,ground,flying,Mud Shot,Earth Power,Rock Slide,ground,ground,rock,645,139.9,100.5,114,70.2
normal,psychic,Confusion,Brutal Swing,Trailblaze,psychic,dark,grass,765,110.9,131.2,139,81.1,grass,ice,Powder Snow,Icy Wind,Energy Ball,ice,ice,grass,460,117.9,111.4,143,80.7
water,electric,Water Gun,Surf,Thunderbolt,water,water,electric,171,104.8,104.8,194,85.1,ice,none,Astonish,Icy Wind,Signal Beam,ghost,ice,bug,583,124.1,119.3,122,69.9
electric,none,Thunder Shock,Thunder Punch,Return,electric,electric,normal,125,130.9,112.6,115,72.5,bug,flying,Bug Bite,Dynamic Punch,Aerial Ace,bug,fighting,flying,166,101.9,161.2,134,83.2
electric,none,Charge Beam,Trailblaze,Discharge,electric,grass,electric,180,121.9,99.8,151,59.2,electric,grass,Thunder Shock,Wild Charge,Swift,electric,electric,normal,101,123.3,130.1,113,84.3
poison,fire,Incinerate,Poison Fang,Dragon Pulse,fire,poison,dragon,758,146.6,90.9,114,81.9,fire,flying,Ember,Blast Burn,Dragon Claw,fire,fire,dragon,6,132.2,108.3,117,78.5
ground,none,Mud Slap,Mud Bomb,Stone Edge,ground,ground,rock,51,136.4,120.5,99,76.4,steel,rock,Metal Sound,Rock Tomb,Thunder,steel,rock,electric,306,116.1,154.0,107,80.8
rock,none,Sucker Punch,Stone Edge,Drill Run,dark,rock,ground,745,144.6,92.0,117,63.5,fire,none,Incinerate,Crunch,Flamethrower,fire,dark,fire,909,106.7,93.3,152,64.5
ghost,dark,Sucker Punch,Rock Tomb,Shadow Ball,dark,rock,ghost,442,121.2,146.4,104,85.0,ghost,flying,Hex,Icy Wind,Shadow Ball,ghost,ice,ghost,426,119.8,75.0,208,87.4
fairy,none,Fairy Wind,Moonblast,Swift,fairy,fairy,normal,36,117.2,111.5,146,86.9,rock,water,Mud Shot,Aqua Jet,Rock Tomb,ground,water,rock,140,133.6,128.6,97,73.3
