Pokemon,WinTypes,LoseTypes,WinFastMoves,LoseFastMoves,WinChargedMoves,LoseChargedMoves
Pawmo,"['Fighting', 'Steel', 'Fighting', 'Water']",['Normal'],"{'Force Palm*': 3, 'Double Kick': 1}",{'Charm': 3},"{'Thunder Punch': 3, 'Shadow Ball': 3, 'Aqua Jet': 1, 'Trailblaze': 1}","{'Wild Charge': 3, 'Disarming Voice': 3}"
Lucario,[],"['Electric', 'Fighting']",{},{'Thunder Shock': 3},{},"{'Wild Charge': 3, 'Thunder Punch': 3}"
Mantyke,['Normal'],"['Rock', 'Fairy']",{'Fury Cutter': 4},{'Rock Throw': 1},"{'Close Combat': 4, 'Night Slash': 4}","{'Power Gem': 1, 'Rock Slide': 1}"
Zangoose,['Fire'],"['Water', 'Flying', 'Normal']",{'Ember': 1},"{'Bubble': 4, 'Lick': 2}","{'Flame Charge': 1, 'Stomp': 1}","{'Aerial Ace': 4, 'Water Pulse': 4, 'Swift': 2, 'Cross Chop': 2}"
Sylveon,"['Psychic', 'Fairy', 'Fire', 'Normal', 'Rock', 'Fairy']","['Water', 'Ground']","{'Fairy Wind': 2, 'Incinerate': 3, 'Rock Throw': 4}","{'Mud Shot': 3, 'Fury Cutter': 4}","{'Body Slam': 2, 'Wild Charge*': 2, 'Flame Charge': 3, 'Dark Pulse': 3, 'Power Gem': 4, 'Rock Slide': 4}","{'Earth Power': 3, 'Water Pulse': 3, 'Aerial Ace': 4, 'Night Slash': 4}"
Rapidash (Galarian),"['Psychic']","['Fairy', 'Water', 'Dark']","{'Acid': 4, 'Incinerate': 4, 'Psycho Cut': 4}","{'Charm': 2, 'Fury Cutter': 2}","{'Leaf Blade': 4, 'Dazzling Gleam': 4, 'Flame Charge': 4, 'Dark Pulse': 4, 'Grass Knot*': 4, 'Moonblast': 4}","{'Psyshock*': 2, 'Moonblast': 2, 'Dark Pulse': 2, 'Icy Wind': 2}"
Ampharos,"['Water', 'Fairy']","['Psychic', 'Fairy']",{'Water Gun': 2},"{'Charm': 2, 'Rock Throw': 4}","{'Surf': 2, ""Nature's Madness*"": 2}","{'Triple Axel': 2, 'Shadow Ball': 2, 'Rock Tomb': 4, 'Rock Slide': 4}"
Tapu Fini,"['Psychic', 'Flying', 'Rock', 'Dragon', 'Grass', 'Fighting', 'Fire']","['Electric', 'Ghost', 'Grass']","{'Air Slash': 3, 'Dragon Tail': 3, 'Magical Leaf': 3, 'Fire Spin': 4}","{'Volt Switch': 2, 'Astonish': 3}","{'Aerial Ace': 3, 'Future Sight': 3, 'Meteor Beam': 3, 'Crunch': 4, 'Aura Sphere': 3, 'Flamethrower': 4}","{'Brutal Swing': 2, 'Trailblaze': 2, 'Grass Knot': 3, 'Foul Play': 3}"
Rapidash,['Fairy'],[],{'Charm': 2},{},"{'Moonblast': 2, 'Thunderbolt': 2}",{}
Aromatisse,"['Grass', 'Steel']",['Fire'],{'Metal Claw': 3},{'Incinerate': 2},"{'Iron Head': 3, 'Return': 3}","{'Flame Charge': 2, 'Wild Charge*': 2}"
Rhyperior,"['Poison', 'Normal']","['Grass']",{'Mud Slap': 3},"{'Bullet Seed': 3, 'Water Gun': 4}","{'Poison Fang': 3, 'Sludge Bomb': 3}","{'Weather Ball (Fire)': 3, 'Solar Beam': 3, 'Aqua Tail': 4, 'Aqua Jet': 4}"
Grafaiai,"['Normal', 'Flying']","['Ground', 'Rock', 'Fire', 'Flying']",{'Air Slash': 4},"{'Mud Slap': 3, 'Ember': 3}","{'Sky Attack': 4, 'Hyper Beam': 4}","{'Breaking Swipe': 3, 'Rock Wrecker*': 3, 'Fly': 3, 'Aerial Ace': 3}"
Politoed,"['Steel', 'Fairy']",['Grass'],{'Fairy Wind': 2},{'Bullet Seed': 3},"{'Iron Head': 2, 'Play Rough': 2}","{'Dazzling Gleam': 3, 'Solar Beam': 3}"
Mawile,"['Ice', 'Fairy']","['Water', 'Water', 'Ground', 'Electric', 'Grass']","{'Powder Snow': 3, 'Water Gun': 4}","{'Mud Shot': 2, 'Mud Slap': 3, 'Ice Shard': 4, 'Thunder Shock': 1}","{'Weather Ball (Ice)': 3, 'Dazzling Gleam': 3, 'Aqua Tail': 4, 'Ancient Power': 4}","{'Weather Ball (Water)': 2, 'Earthquake*': 2, 'Body Slam': 3, 'Earth Power': 3, 'Icy Wind': 4, 'Liquidation': 4, 'Thunderbolt': 1, 'Ominous Wind': 1}"
Kangaskhan,"['Fire', 'Ghost', 'Ice']","['Ice', 'Water']","{'Ember': 2, 'Powder Snow': 3}",{'Powder Snow*': 2},"{'Fire Punch': 2, 'Wild Charge': 2, 'Ice Punch': 3, 'Liquidation': 3}","{'Icicle Spear*': 2, 'Earthquake': 2}"
Typhlosion (Hisuian),[],"['Normal', 'Electric', 'Ice']",{'Mud Shot': 4},"{'Mud Slap': 2, 'Thunder Shock': 2}","{'Rock Slide*': 4, 'Hydro Pump': 4}","{'Stomp*': 2, 'Crunch': 2, 'Thunderbolt': 2, 'Blizzard': 2}"
Sceptile,['Water'],"['Normal', 'Ground', 'Fire', 'Rock']",{'Water Gun': 3},"{'Quick Attack': 1, 'Mud Slap': 4, 'Fire Fang': 3}","{'Aqua Tail': 3, 'Last Resort*': 3}","{'Fire Punch': 1, 'Scorching Sands': 1, 'Mud Bomb': 4, 'Body Slam': 4, 'Wild Charge': 3, 'Rock Slide': 3}"
Vaporeon,['Water'],"['Grass', 'Rock', 'Electric']",{'Poison Jab*': 2},"{'Fury Cutter': 3, 'Fire Spin': 3, 'Rollout*': 3}","{'Drill Run*': 2, 'Icy Wind*': 2}","{'Frenzy Plant*': 3, 'Breaking Swipe': 3, 'Magma Storm*': 3, 'Stone Edge': 3}"
Escavalier,"['Normal', 'Water', 'Steel', 'Psychic', 'Steel', 'Poison', 'Grass', 'Poison']","['Ground', 'Ghost']","{'Rollout': 3, 'Bullet Punch': 2, 'Metal Sound': 3, 'Vine Whip': 3}",{'Shadow Claw': 3},"{'Surf': 3, 'Hyper Fang': 3, 'Meteor Mash*': 2, 'Earthquake': 2, 'Overheat': 3, 'Gyro Ball': 3, 'Frenzy Plant*': 3, 'Sludge Bomb': 3}","{'Rock Tomb': 3, 'Shadow Ball': 3}"
Bibarel,"['Ice', 'Ground', 'Fire']","['Bug', 'Steel']","{'Powder Snow': 3, 'Karate Chop': 2}","{'Bug Bite': 3, 'Poison Jab': 4}","{'Icicle Spear': 3, 'High Horsepower': 3, 'Fire Punch': 2, 'Scorching Sands': 2}","{'Drill Run': 3, 'Razor Shell*': 3, 'Sludge Bomb': 4, 'Fell Stinger': 4}"
Magmar,"['Bug', 'Rock', 'Rock', 'Fire']","['Normal', 'Water']","{'Fury Cutter': 2, 'Smack Down': 2, 'Ember': 3}",{'Rollout': 2},"{'X-Scissor': 2, 'Stone Edge': 2, 'Rock Blast': 2, 'Body Slam': 3, 'Flamethrower': 3}","{'Surf': 2, 'Hyper Fang': 2}"
Kleavor,"['Rock', 'Fairy', 'Water', 'Rock', 'Rock', 'Dragon']","['Fire', 'Water', 'Rock']","{'Rock Throw': 4, 'Water Gun': 3, 'Dragon Tail': 3}","{'Karate Chop': 2, 'Fury Cutter': 4, 'Water Gun': 2}","{'Power Gem': 4, 'Moonblast': 4, 'Surf': 3, 'Ancient Power': 3, 'Dragon Claw': 3}","{'Fire Punch': 2, 'Scorching Sands': 2, 'Close Combat': 4, 'X-Scissor': 4, 'Aqua Tail': 2, 'Ancient Power': 2}"
Munchlax,"['Fire', 'Bug', 'Fire', 'Grass', 'Poison', 'Fighting', 'Bug', 'Electric']","['Steel', 'Psychic']","{'Ember': 3, 'Fire Spin': 2, 'Vine Whip': 2, 'Low Kick': 2, 'Volt Switch*': 2}",{'Metal Sound': 3},"{'Lunge': 3, 'Crunch': 3, 'Flame Charge': 2, 'Flamethrower': 2, 'Power Whip': 2, 'Sludge Bomb': 2, 'Body Slam': 2, 'Brick Break': 2, 'X-Scissor': 2, 'Fly': 2}","{'Psyshock': 3, 'Payback': 3}"
Centiskorch,"['Grass', 'Normal']","['Normal', 'Normal', 'Flying', 'Steel', 'Poison']",{'Magical Leaf': 2},"{'Tackle': 3, 'Bullet Seed': 3, 'Metal Sound': 3}","{'Earth Power': 2, 'Trailblaze': 2}","{'Body Slam': 3, 'Bulldoze': 3, 'Drill Peck': 3, 'Rock Blast': 3, 'Overheat': 3, 'Gyro Ball': 3}"
Pinsir,"['Rock', 'Electric', 'Grass', 'Fighting', 'Grass']","['Fire', 'Rock']","{'Rollout*': 3, 'Vine Whip': 3, 'Fury Cutter': 4, 'Charm': 2}",{'Incinerate': 2},"{'Wild Charge': 3, 'Rock Blast': 3, 'Frenzy Plant*': 3, 'Superpower': 3, 'X-Scissor': 4, 'Stone Edge': 4, 'Petal Blizzard': 2, 'Hyper Beam': 2}","{'Rock Tomb': 2, 'Overheat': 2}"
Golem (Alolan),"['Normal', 'Grass', 'Water', 'Water', 'Ghost']",['Bug'],"{'Lock On': 2, 'Sucker Punch': 4, 'Vine Whip': 3, 'Water Gun': 3, 'Hex': 3}",{'Fury Cutter': 3},"{'Tri Attack': 2, 'Zap Cannon': 4, 'Parabolic Charge': 4, 'Power Whip': 3, 'Crunch': 3, 'Aqua Tail': 3, 'Last Resort*': 3, 'Night Shade': 3, 'Ice Beam': 3}","{'Close Combat': 3, 'X-Scissor': 3}"
Celesteela,"['Rock', 'Bug', 'Water', 'Poison', 'Psychic']",[],"{'Fury Cutter': 2, 'Bubble': 3, 'Poison Jab': 2}",{},"{'Rock Blast': 2, 'Liquidation': 2, 'Crabhammer': 3, 'X-Scissor': 3, 'Scald': 2, 'Brutal Swing': 2}",{}
Armaldo,"['Electric', 'Fire', 'Ghost']","['Steel', 'Flying', 'Normal']","{'Quick Attack': 2, 'Incinerate': 2}","{'Air Slash': 2, 'Tackle': 3}","{'Thunderbolt': 2, 'Grass Knot': 2, 'Torch Song': 2, 'Shadow Ball': 2}","{'Body Slam': 3, 'Iron Head': 2, 'Trailblaze': 3}"
Crocalor,"['Ice', 'Ground']","['Electric', 'Ice', 'Poison', 'Fairy']",{'Powder Snow': 3},"{'Thunder Shock': 1, 'Fairy Wind': 3}","{'Icicle Spear': 3, 'High Horsepower': 3}","{'Thunderbolt': 1, 'Blizzard': 1, 'Sludge': 3, 'Brutal Swing': 3}"
Mamoswine,"['Normal', 'Flying', 'Psychic']","['Fire', 'Fire', 'Fighting']","{'Bullet Seed': 3, 'Confusion': 3}","{'Incinerate': 3, 'Ember': 4, 'Counter': 3}","{'Drill Peck': 3, 'Rock Blast': 3, 'Psyshock': 3, 'Surf': 3}","{'Crunch': 3, 'Flamethrower': 3, 'Fire Punch': 4, 'Return': 4, 'Dynamic Punch': 3, 'Brutal Swing*': 3}"
Noctowl,"['Dragon', 'Fighting', 'Poison', 'Water', 'Ground', 'Dragon', 'Grass']","['Ground', 'Ghost']","{'Dragon Tail': 2, 'Poison Jab': 2, 'Quick Attack': 4, 'Mud Shot': 2, 'Dragon Breath': 2, 'Fury Cutter': 2}",{'Mud Slap': 2},"{'Dragon Claw': 2, 'Night Slash': 2, 'Close Combat': 2, 'Aerial Ace': 2, 'Leaf Blade': 2, 'Last Resort*': 4, 'Earth Power': 2, 'Sludge Bomb': 2, 'Aqua Tail': 2, 'Wrap': 2, 'Superpower': 2}","{'Shadow Punch': 2, 'Dynamic Punch': 2}"
Druddigon,['Water'],"['Normal', 'Flying']",{'Water Gun': 3},{'Wing Attack': 2},"{'Cross Chop': 3, 'Liquidation': 3}","{'Sky Attack': 2, 'Night Shade': 2}"
Spritzee,"['Electric', 'Normal', 'Water', 'Ground']","['Water', 'Psychic']","{'Volt Switch': 3, 'Mud Shot': 3}","{'Dragon Tail': 2, 'Astonish': 4, 'Charge Beam': 2}","{'Breaking Swipe': 3, 'Parabolic Charge': 3, 'Hydro Cannon*': 3, 'Sludge': 3}","{'Surf': 2, 'Wrap': 2, 'Crunch': 4, 'Disarming Voice': 4, 'Psyshock': 2, 'Dazzling Gleam': 2}"
Heliolisk,['Poison'],['Fairy'],{'Infestation': 3},{'Charm': 3},"{'Sludge': 3, 'Dark Pulse': 3}","{'Thunderbolt': 3, 'Draining Kiss': 3}"
Staravia,"['Ground', 'Rock']","['Normal', 'Dark', 'Dragon', 'Bug', 'Steel']","{'Mud Slap': 3, 'Rock Throw': 1}","{'Quick Attack': 4, 'Dragon Breath': 3, 'Bug Bite': 4}","{'Mud Bomb': 3, 'Stone Edge': 1, 'Rock Slide': 1}","{'Swift': 4, 'Fire Punch': 4, 'Brutal Swing*': 3, 'Flash Cannon': 3, 'Bug Buzz': 4, 'Iron Head': 4}"
Dugtrio,"['Bug', 'Fairy']","['Normal', 'Flying']",{'Fairy Wind': 2},{'Quick Attack': 3},"{'Seed Bomb': 4, 'Moonblast': 4, 'Dazzling Gleam': 2, 'Bug Buzz': 2}","{'Brave Bird': 3, 'Fly': 3}"
Pumpkaboo (Average),['Fire'],"['Poison']",{'Karate Chop': 2},"{'Acid': 2, 'Hex': 4}","{'Fire Punch': 2, 'Thunderbolt*': 2}","{'Dark Pulse': 4, 'Sludge Wave': 2, 'Shadow Ball': 4}"
Magmortar,"['Normal', 'Grass', 'Ground', 'Normal', 'Psychic']","['Ghost', 'Grass', 'Fighting', 'Dark']","{'Mud Shot': 3, 'Razor Leaf': 3, 'Confusion': 2}","{'Astonish': 2, 'Sucker Punch': 2, 'Mud Shot': 4}","{'Swift': 3, 'Crunch': 3, 'Frenzy Plant*': 3, 'Stone Edge': 3, 'Psychic Fangs': 2, 'Trailblaze': 2}","{'Grass Knot': 2, 'Foul Play': 2, 'Brick Break': 2, 'Dynamic Punch': 2, 'Swift': 4, 'Crunch': 4}"
Snorlax,"['Ice', 'Rock', 'Rock', 'Fairy']",[],"{'Powder Snow': 3, 'Rock Throw': 4}",{},"{'Rock Slide': 4, 'Icy Wind': 3, 'Power Gem': 4}",{}
Avalugg (Hisuian),"['Bug', 'Flying']",['Normal'],{'Bug Bite': 4},{'Lick': 3},"{'Aerial Ace': 4, 'Bug Buzz': 4}","{'Body Slam': 3, 'Superpower': 3}"
Klang,"['Poison', 'Dark', 'Fire', 'Fighting', 'Fire', 'Ghost', 'Water']","['Rock', 'Grass', 'Ice']","{'Poison Jab': 3, 'Fire Spin': 3, 'Incinerate': 2, 'Water Gun': 4}","{'Acid': 2, 'Ice Fang': 1}","{'Dark Pulse': 3, 'Acid Spray': 3, 'Blaze Kick': 3, 'Blast Burn*': 3, 'Shadow Ball': 2, 'Flame Charge': 2, 'Aqua Tail': 4, 'Aqua Jet': 4}","{'Ancient Power': 2, 'Grass Knot': 2, 'Avalanche': 1, 'Superpower': 1}"
Muk,[],"['Steel', 'Water', 'Dark', 'Ice']",{},"{'Metal Sound': 3, 'Rollout': 1, 'Snarl': 3}",{},"{'Thunderbolt': 3, 'Vise Grip': 3, 'Scald': 1, 'Body Slam': 1, 'Avalanche': 3, 'Foul Play': 3}"
Passimian,"['Ground', 'Rock']",[],{'Mud Slap': 3},{},"{'Breaking Swipe': 3, 'Stone Edge': 3}",{}
Rhydon,[],['Fighting'],{'Tackle': 4},{'Counter': 3},"{'Swift': 4, 'High Horsepower*': 4}","{'Brutal Swing': 3, 'Brick Break': 3}"
Slowking (Galarian),"['Bug', 'Grass', 'Psychic', 'Flying', 'Ghost']",[],"{'Fury Cutter': 3, 'Dragon Tail': 2, 'Shadow Claw': 3}",{},"{'X-Scissor': 3, 'Cross Poison': 3, 'Fly': 2, 'Aeroblast*': 2, 'Shadow Ball': 3, 'Dazzling Gleam': 3}",{}
Parasect,"['Psychic', 'Fairy']","['Poison', 'Psychic']",{'Charm': 2},{'Acid': 3},"{'Triple Axel': 2, 'Shadow Ball': 2}","{'Surf*': 3, 'Shadow Ball': 3}"
Excadrill,"['Electric', 'Steel', 'Bug', 'Rock']",['Fighting'],"{'Volt Switch': 3, 'Fury Cutter': 1}",{'Low Kick': 3},"{'Magnet Bomb': 3, 'Discharge': 3, 'X-Scissor': 1, 'Rock Slide': 1}","{'Body Slam': 3, 'Brick Break': 3}"
Magnemite,[],"['Ground', 'Steel']",{},"{'Mud Slap': 3, 'Tackle': 4}",{},"{'Drill Run': 3, 'Rock Slide': 3, 'Body Slam': 4, 'Trailblaze': 4}"
Primarina,"['Fighting']","['Steel', 'Psychic', 'Water']","{'Double Kick': 3, 'Air Slash': 4}","{'Acid': 4, 'Bullet Punch': 2, 'Fury Cutter': 3}","{'Close Combat': 3, 'Trailblaze': 3, 'Air Cutter': 4, 'Aerial Ace': 4}","{'Aqua Tail': 4, 'Outrage': 4, 'Meteor Mash*': 2, 'Earthquake': 2, 'Hydro Cannon*': 3, 'Megahorn': 3}"
Tauros (Combat),[],"['Water', 'Fairy']",{'Counter': 4},{'Charm': 3},"{'Rage Fist*': 4, 'Close Combat': 4}","{'Disarming Voice': 3, 'Hydro Cannon*': 3}"
Fraxure,"['Fire', 'Steel', 'Grass', 'Bug', 'Poison', 'Bug', 'Ice', 'Normal']","['Electric', 'Fairy']","{'Fire Spin': 1, 'Vine Whip': 2, 'Poison Sting': 1, 'Fury Cutter': 2, 'Powder Snow': 2, 'Double Kick': 2}","{'Spark': 4, 'Thunder Shock': 3}","{'Magma Storm*': 1, 'Stone Edge': 1, 'Power Whip': 2, 'Rock Slide': 2, 'X-Scissor': 2, 'Megahorn': 1, 'Drill Run': 2, 'Weather Ball (Ice)': 2, 'Blizzard': 2, 'Body Slam': 2, 'Payback': 2}","{'Wild Charge': 4, 'Flame Charge': 4, 'Parabolic Charge': 3, 'Play Rough': 3}"
Heatran,"['Bug', 'Rock']",['Dragon'],"{'Thunder Shock': 4, 'Water Gun': 3, 'Fury Cutter': 3}",{'Dragon Tail': 1},"{'Thunder Punch': 4, 'Crunch': 4, 'Aqua Tail': 3, 'Last Resort*': 3, 'X-Scissor': 3, 'Rock Slide': 3}","{'Dragon Claw': 1, 'Aqua Tail': 1}"
Mienshao,"['Normal', 'Ghost', 'Ground', 'Normal', 'Steel', 'Ground']",[],"{'Sucker Punch': 2, 'Astonish': 2, 'Thunder Fang': 3}",{'Psywave': 4},"{'Aerial Ace': 2, 'Ice Beam': 2, 'Scorching Sands': 2, 'Shadow Ball': 2, 'Surf': 2, 'Grass Knot': 2, 'Psychic Fangs': 3, 'Breaking Swipe': 3}","{'Sparkling Aria': 4, 'Ice Beam*': 4}"
Kecleon,[],"['Fighting', 'Poison', 'Bug', 'Fighting', 'Poison']",{},"{'Force Palm': 2, 'Poison Sting': 3, 'Shadow Claw': 2}",{},"{'Brick Break': 2, 'Brutal Swing': 2, 'Aqua Tail': 3, 'Cross Poison': 3, 'Close Combat': 2, 'Aerial Ace': 2}"
Obstagoon,"['Water', 'Ice', 'Steel']","['Ghost', 'Grass']","{'Poison Jab*': 3, 'Shadow Claw*': 3}",{'Hex': 2},"{'Drill Run*': 3, 'Icy Wind*': 3, 'Ice Punch': 3, 'Drill Run': 3}","{'Shadow Ball': 2, 'Seed Bomb': 2}"
Seaking,"['Poison', 'Psychic', 'Rock', 'Flying']","['Dark', 'Normal', 'Dark', 'Flying', 'Water']","{'Acid': 2, 'Wing Attack': 3}","{'Counter': 3, 'Sucker Punch': 3, 'Tackle': 4, 'Water Gun': 2}","{'Surf*': 2, 'Shadow Ball': 2, 'Ancient Power': 3, 'Dragon Claw': 3}","{'Night Slash': 3, 'Cross Chop': 3, 'Fly': 3, 'Brave Bird': 3, 'Energy Ball': 4, 'Draining Kiss': 4, 'Aqua Tail': 2, 'Last Resort*': 2}"
Tyrunt,"['Psychic', 'Flying', 'Poison', 'Flying', 'Poison', 'Fighting']","['Ice', 'Bug', 'Rock']","{'Psycho Cut': 3, 'Air Slash': 3, 'Poison Sting': 4}","{'Powder Snow': 2, 'Fury Cutter': 3}","{'Fly': 3, 'Brave Bird': 3, 'Poison Fang': 3, 'Shadow Ball': 4, 'Dynamic Punch': 4}","{'Avalanche': 2, 'Body Slam': 2, 'X-Scissor': 3, 'Stone Edge': 3}"
Articuno (Galarian),"['Bug', 'Grass']","['Rock', 'Dragon']",{'Bug Bite': 3},{'Dragon Tail': 3},"{'Energy Ball': 3, 'Bug Buzz': 3}","{'Dragon Claw': 3, 'Ancient Power': 3}"
Sandshrew (Alolan),"['Ghost', 'Ground', 'Bug']",[],"{'Astonish': 2, 'Bug Bite': 2}",{},"{'Scorching Sands': 2, 'Shadow Ball': 2, 'Rock Tomb': 2, 'Return': 2}",{}
Palossand,"['Poison', 'Fighting', 'Bug', 'Steel']","['Ice', 'Steel', 'Water']","{'Poison Sting': 3, 'Tackle': 2, 'Lock On': 3}","{'Powder Snow': 2, 'Bubble': 2}","{'Dynamic Punch': 3, 'Shadow Ball': 3, 'Silver Wind': 2, 'Dazzling Gleam': 2, 'Focus Blast': 3, 'Zap Cannon*': 3}","{'Night Slash': 2, 'Blizzard': 2, 'Crabhammer': 2, 'X-Scissor': 2}"
Thundurus (Incarnate),"['Fairy', 'Flying', 'Bug', 'Flying', 'Fighting']","['Fighting']","{'Charm': 2, 'Bug Bite': 2, 'Magical Leaf': 2, 'Karate Chop': 2}","{'Force Palm': 3, 'Fire Spin': 4}","{'Psyshock': 2, 'Aura Sphere*': 2, 'Dynamic Punch': 2, 'Aerial Ace': 2, 'Earth Power': 2, 'Trailblaze': 2, 'Cross Chop': 2, 'Return': 2}","{'Upper Hand': 3, 'Heavy Slam': 3, 'Magma Storm*': 4, 'Stone Edge': 4}"
Togekiss,"['Bug', 'Dark', 'Ice']","['Electric', 'Flying', 'Bug', 'Poison', 'Water', 'Fighting', 'Water']","{'Charm': 4, 'Fury Cutter': 4, 'Ice Shard': 2}","{'Thunder Shock': 2, 'Tackle': 2, 'Poison Jab': 1, 'Counter': 1}","{'Triple Axel': 4, 'Shadow Ball': 4, 'X-Scissor': 4, 'Aerial Ace': 4, 'Avalanche': 2, 'Foul Play': 2}","{'Thunder Punch': 2, 'Crunch': 2, 'Bug Buzz': 2, 'Thunderbolt': 2, 'Brine': 1, 'Sludge Wave': 1, 'Aqua Jet': 1, 'Dynamic Punch': 1}"
Deoxys (Defense),"['Dark', 'Flying', 'Psychic', 'Normal', 'Flying']",[],"{'Air Slash': 1, 'Confusion': 2, 'Wing Attack': 3}",{},"{'Brave Bird': 3, 'Foul Play': 1, 'Swift': 2, 'Future Sight': 2, 'Aerial Ace': 3}",{}
Vullaby,"['Poison', 'Ground', 'Dragon']","['Psychic', 'Psychic']","{'Poison Jab': 4, 'Dragon Tail': 2}","{'Counter': 1, 'Confusion': 3}","{'Sludge': 4, 'Mud Bomb': 4, 'Scorching Sands': 2, 'Dragon Claw': 2}","{'Psycho Boost': 1, 'Thunderbolt': 1, 'Shadow Ball': 3, 'Psychic': 3}"
Zygarde (50% Forme),"['Poison', 'Flying', 'Electric', 'Flying', 'Grass']","['Bug', 'Steel']","{'Wing Attack': 3, 'Acid': 4, 'Thunder Shock*': 2, 'Vine Whip': 2}",{'Fury Cutter': 3},"{'Poison Fang': 3, 'Shadow Ball': 3, 'Rock Tomb': 4, 'Grass Knot': 2, 'Drill Peck': 2, 'Thunderbolt': 2, 'Sludge Bomb': 2}","{'X-Scissor': 3, 'Techno Blast (Normal)*': 3}"
Golbat,['Water'],"['Dragon', 'Ground', 'Grass', 'Fighting', 'Ghost']",{'Water Gun': 3},"{'Dragon Tail': 3, 'Vine Whip': 2, 'Shadow Claw': 3}","{'Surf': 3, 'Crunch': 3}","{'Crunch': 3, 'Earthquake': 3, 'Frenzy Plant*': 2, 'Superpower': 2, 'Shadow Ball': 3, 'Dark Pulse': 3}"
Sandshrew,"['Normal', 'Flying', 'Normal', 'Normal', 'Water', 'Ground']","['Dragon', 'Ground', 'Water']","{'Quick Attack': 3, 'Astonish': 3, 'Shadow Claw': 2, 'Mud Shot': 2}","{'Dragon Tail': 3, 'Water Gun': 2}","{'Fly': 3, 'Close Combat': 3, 'Swift': 2, 'Aerial Ace': 3, 'Grass Knot': 2, 'Aqua Tail*': 2, 'Stone Edge': 2}","{'Sand Tomb': 3, 'Outrage': 3, 'Water Pulse': 2, 'Silver Wind': 2}"
Staraptor,[],['Ground'],{},{'Sand Attack': 3},{},"{'Rock Tomb*': 3, 'Dig': 3}"
Braixen,"['Ghost', 'Grass', 'Water', 'Grass']",[],"{'Shadow Claw': 3, 'Bubble': 3}",{},"{'Power Whip': 3, 'Wrap': 3, 'Scald': 3, 'Leaf Storm': 3}",{}
Dhelmise,[],"['Fire', 'Poison', 'Dark']",{},"{'Ember': 3, 'Poison Jab': 2}",{},"{'Psyshock': 3, 'Flame Charge': 3, 'Dark Pulse': 2, 'Acid Spray': 2}"
Girafarig,"['Steel', 'Ghost', 'Normal', 'Flying']","['Fire', 'Normal', 'Fire', 'Rock', 'Steel']","{'Hex': 3, 'Steel Wing': 2}","{'Fire Fang': 2, 'Rollout': 2, 'Karate Chop': 2, 'Smack Down': 1}","{'Shadow Ball': 3, 'Power Gem': 3, 'Fly': 2, 'Drill Run': 2}","{'Flame Charge': 2, 'Scorching Sands': 2, 'Body Slam*': 2, 'Shadow Ball': 2, 'Fire Punch': 2, 'Thunderbolt*': 2, 'Stone Edge': 1, 'Flamethrower': 1}"
Gholdengo,"['Bug', 'Poison']","['Normal', 'Psychic']",{'Poison Sting': 2},{'Confusion': 3},"{'Lunge': 2, 'Trailblaze': 2}","{'Psychic Fangs': 3, 'Trailblaze': 3}"
Drilbur,"['Psychic', 'Fighting', 'Fire', 'Dark']","['Grass', 'Psychic', 'Flying', 'Dark']","{'Confusion': 2, 'Force Palm': 2, 'Snarl': 1}","{'Bullet Seed': 3, 'Sucker Punch': 4}","{'Shadow Ball': 2, 'Thunder Punch': 2, 'Upper Hand': 2, 'Heavy Slam': 2, 'Darkest Lariat': 1, 'Blast Burn*': 1}","{'Seed Bomb': 3, 'Psychic': 3, 'Fly': 4, 'Rock Tomb': 4}"
Hypno,[],"['Ground', 'Water', 'Rock', 'Poison', 'Electric', 'Flying']",{},"{'Mud Slap': 2, 'Water Gun': 3, 'Poison Jab': 2, 'Thunder Shock': 3}",{},"{'Drill Run': 2, 'Rock Tomb': 2, 'Surf': 3, 'Ancient Power': 3, 'Poison Fang': 2, 'Wrap': 2, 'Acrobatics': 3, 'Discharge': 3}"
Lunatone,"['Grass', 'Poison']","['Water', 'Electric']",{'Vine Whip': 2},{'Bubble': 2},"{'Power Whip': 2, 'Sludge Bomb': 2}","{'Thunderbolt': 2, 'Water Pulse': 2}"
Ivysaur,"['Grass', 'Steel']","['Rock', 'Psychic', 'Bug', 'Steel']",{'Metal Claw': 3},"{'Psywave': 2, 'Poison Sting': 4, 'Bug Bite': 2}","{'Iron Head': 3, 'Return': 3}","{'Rock Slide': 2, 'Moonblast': 2, 'Dynamic Punch': 4, 'Shadow Ball': 4, 'Bug Buzz': 2, 'Iron Head': 2}"
Incineroar,"['Steel', 'Psychic']","['Rock', 'Flying', 'Fairy', 'Ground']","{'Confusion': 2, 'Dragon Breath': 4}","{'Wing Attack': 2, 'Vine Whip': 3, 'Mud Slap': 1}","{'Doom Desire': 2, 'Dazzling Gleam': 2, 'Aqua Tail': 4, 'Thunder Punch*': 4}","{'Ancient Power': 2, 'Dragon Claw': 2, 'Grass Knot': 3, 'Draining Kiss': 3, 'Drill Run': 1, 'Rock Tomb': 1}"
Jirachi,['Fairy'],"['Fire', 'Dark', 'Poison', 'Fairy']",{'Charm': 4},"{'Snarl': 2, 'Fairy Wind': 3, 'Poison Sting': 4}","{'Close Combat': 4, 'Crunch': 4}","{'Darkest Lariat': 2, 'Blast Burn*': 2, 'Sludge': 3, 'Brutal Swing': 3, 'Weather Ball (Fire)*': 4, 'Leaf Storm': 4}"
